Client,Rating,FeedbackDate
abc ltd,4,2024-04-19
abc ltd,5,2024-01-01
XYZ Pvt,4,2024-05-24
ABC Ltd,2,2024-03-20
XYZ Pvt,4,2024-01-27
abc ltd,3,2024-04-28
Delta Corp,4,2024-05-02
ABC Ltd,5,2024-01-24
ABC Ltd,2,2024-07-08
abc ltd,4,2024-02-21
ABC Ltd,1,2024-02-20
abc ltd,1,2024-07-12
ABC Ltd,1,2024-02-26
ABC Ltd,4,2024-02-24
Delta Corp,5,2024-02-22
abc ltd,1,2024-03-29
XYZ Pvt,4,2024-01-19
Delta Corp,4,2024-04-18
abc ltd,5,2024-05-20
ABC Ltd,5,2024-01-29
abc ltd,2,2024-05-13
abc ltd,2,2024-04-29
Delta Corp,4,2024-05-08
abc ltd,2,2024-05-31
ABC Ltd,3,2024-03-14
XYZ Pvt,5,2024-04-08
XYZ Pvt,4,2024-01-06
ABC Ltd,2,2024-06-24
XYZ Pvt,4,2024-05-27
Delta Corp,2,2024-03-16
abc ltd,5,2024-03-07
abc ltd,4,2024-07-01
XYZ Pvt,1,2024-01-18
XYZ Pvt,2,2024-01-21
XYZ Pvt,4,2024-07-10
Delta Corp,5,2024-06-13
abc ltd,4,2024-01-19
abc ltd,5,2024-02-25
ABC Ltd,1,2024-07-08
ABC Ltd,4,2024-01-18
Delta Corp,5,2024-06-06
abc ltd,4,2024-07-02
abc ltd,5,2024-04-15
ABC Ltd,1,2024-06-18
ABC Ltd,2,2024-02-22
abc ltd,4,2024-03-26
Delta Corp,4,2024-02-19
XYZ Pvt,1,2024-05-06
Delta Corp,4,2024-01-04
abc ltd,5,2024-03-03
XYZ Pvt,5,2024-07-13
Delta Corp,1,2024-04-22
Delta Corp,1,2024-02-25
abc ltd,4,2024-06-25
ABC Ltd,5,2024-05-29
Delta Corp,1,2024-05-19
Delta Corp,5,2024-06-25
ABC Ltd,5,2024-01-13
Delta Corp,2,2024-04-14
Delta Corp,4,2024-02-02
ABC Ltd,3,2024-06-23
abc ltd,4,2024-03-04
abc ltd,2,2024-03-23
abc ltd,3,2024-04-14
XYZ Pvt,1,2024-05-24
abc ltd,4,2024-02-03
XYZ Pvt,4,2024-03-08
XYZ Pvt,2,2024-02-08
XYZ Pvt,3,2024-07-18
ABC Ltd,3,2024-05-08
XYZ Pvt,3,2024-05-12
XYZ Pvt,2,2024-02-09
ABC Ltd,5,2024-03-03
Delta Corp,1,2024-05-08
Delta Corp,4,2024-06-11
XYZ Pvt,3,2024-05-24
abc ltd,4,2024-04-03
Delta Corp,2,2024-04-08
abc ltd,4,2024-02-29
ABC Ltd,3,2024-05-08
Delta Corp,2,2024-05-11
ABC Ltd,4,2024-05-16
XYZ Pvt,5,2024-02-14
Delta Corp,3,2024-06-08
XYZ Pvt,5,2024-03-09
XYZ Pvt,3,2024-01-14
ABC Ltd,4,2024-06-27
Delta Corp,2,2024-05-30
Delta Corp,2,2024-06-22
Delta Corp,5,2024-06-03
XYZ Pvt,3,2024-03-29
Delta Corp,4,2024-02-05
abc ltd,4,2024-07-14
abc ltd,1,2024-02-01
