OrderID,ClientName,ServiceType,OrderDate,CompletionDate,Revenue,Cost,Status
1001.0,XYZ Pvt,Automation,2024-01-20,2024-07-27,34300,49045.0,Done
1002.0,XYZ Pvt,Automation,2024-04-15,2024-03-30,70951,21576.0,Pending
1003.0,DELTA corp,Consulting,2024-01-04,2024-05-07,82639,41290.0,In Progress
1004.0,Xyz pvt,Automation,2024-01-18,2024-03-03,105731,68495.0,In Progress
1005.0,XYZ Pvt,Data Cleanup,2024-02-20,2024-03-28,118429,19884.0,In Progress
1006.0,Delta Corp,BI Report,2024-01-20,2024-07-14,87126,59660.0,Pending
1007.0,XYZ Pvt,Consulting,2024-05-01,2024-07-24,57980,33205.0,In Progress
1008.0,Delta Corp,Consulting,2024-05-16,2024-06-30,47050,71739.0,In Progress
1009.0,XYZ Pvt,Data Cleanup,2024-03-20,2024-04-26,17921,40785.0,Done
1010.0,Delta Corp,BI Report,2024-06-02,2024-05-12,85270,,Done
,XYZ Pvt,Data Cleanup,2024-04-11,2024-02-10,100293,74712.0,In Progress
1012.0,XYZ Pvt,BI Report,2024-01-25,2024-02-28,45328,26016.0,Pending
1013.0,abc LTD,Data Cleanup,2024-06-17,2024-02-21,75820,,Pending
1014.0,Delta Corp,Automation,2024-02-28,2024-04-29,38138,86281.0,Pending
1015.0,Delta Corp,Data Cleanup,2024-02-14,2024-06-13,96573,85497.0,Pending
1016.0,Delta Corp,Consulting,2024-02-10,2024-05-08,114140,57266.0,Done
1017.0,ABC ltd,Consulting,2024-02-07,2024-07-04,27094,49712.0,Pending
1018.0,XYZ Pvt,Consulting,2024-04-26,2024-06-13,80264,14768.0,Pending
1019.0,Delta Corp,Data Cleanup,2024-01-19,2024-07-13,24028,67214.0,In Progress
1020.0,DELTA corp,Consulting,2024-01-14,2024-06-18,30432,26972.0,Pending
1021.0,ABC ltd,Consulting,2024-05-06,2024-04-10,58819,81162.0,Pending
1022.0,abc LTD,Automation,2024-05-28,2024-04-21,103627,71412.0,Pending
1023.0,Delta Corp,Automation,2024-05-22,2024-05-04,96122,53281.0,Pending
1024.0,Delta Corp,BI Report,2024-01-03,2024-04-15,20312,36403.0,Done
1025.0,ABC ltd,BI Report,2024-02-06,2024-04-17,40973,38226.0,In Progress
1026.0,XYZ Pvt,BI Report,2024-04-26,2024-06-19,117126,57985.0,Done
1027.0,DELTA corp,Data Cleanup,2024-06-22,2024-06-11,70305,36783.0,In Progress
1028.0,abc LTD,BI Report,2024-01-16,2024-07-09,43973,81939.0,In Progress
1029.0,Delta Corp,Data Cleanup,2024-05-21,2024-02-06,59390,76155.0,In Progress
,XYZ Pvt,Data Cleanup,2024-01-09,2024-03-11,31099,74883.0,In Progress
1031.0,DELTA corp,BI Report,2024-01-07,2024-07-02,64956,76700.0,Done
1032.0,DELTA corp,BI Report,2024-05-21,2024-01-16,114379,87095.0,In Progress
1033.0,abc LTD,Data Cleanup,2024-05-13,2024-07-10,29063,35788.0,Pending
1034.0,Xyz pvt,Automation,2024-01-15,2024-06-01,109306,15166.0,Pending
1035.0,DELTA corp,Consulting,2024-06-28,2024-02-11,107752,43219.0,In Progress
1036.0,Xyz pvt,Consulting,2024-03-12,2024-07-24,108196,,Pending
1037.0,DELTA corp,Consulting,2024-06-10,2024-04-16,96919,8403.0,Pending
1038.0,abc LTD,Automation,2024-04-13,2024-02-23,24605,83569.0,In Progress
1039.0,ABC ltd,Data Cleanup,2024-05-08,2024-01-24,111185,35224.0,In Progress
1040.0,abc LTD,BI Report,2024-04-05,2024-07-06,117756,11485.0,In Progress
1041.0,abc LTD,Data Cleanup,2024-05-01,2024-06-21,113095,82984.0,Done
1042.0,ABC ltd,Data Cleanup,2024-04-24,2024-01-12,92904,73491.0,In Progress
,ABC ltd,BI Report,2024-05-27,2024-05-17,87964,86946.0,In Progress
1044.0,XYZ Pvt,Automation,2024-03-20,2024-02-16,66205,22262.0,Done
1045.0,DELTA corp,Consulting,2024-01-07,2024-04-02,30817,83370.0,Pending
1046.0,XYZ Pvt,Consulting,2024-05-14,2024-06-29,17420,,Done
